RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3887201482,1,5,-,4,2,1,4,5
3887159451,1,5,-,4,1,1,0,999
3887152228,1,5,-,4,2,1,6,2
3887145426,1,5,-,3,2,1,0,999
3887021873,1,8,Iphone app,4,2,1,8,2
3886937140,1,8,AccuWeather App,3,1,1,6,7
3886923931,1,1,-,1,2,1,3,7
3886913587,1,999,-,999,999,999,999,999
3886889048,1,1,-,4,2,1,0,9
3886848806,1,5,-,4,2,1,8,4
3886782609,0,4,-,2,1,1,1,9
3886416355,0,5,-,3,2,1,6,3
3886356706,0,999,-,999,999,999,999,999
3886328736,1,2,-,4,2,1,1,2
3886284495,0,1,-,1,1,1,2,2
3886283555,1,4,-,3,1,1,5,2
3886272525,1,5,-,4,2,1,2,8
3886261814,1,8,nice,4,2,1,3,2
3886258514,1,2,-,1,2,2,3,7
3886256409,0,5,-,4,1,1,3,5
3886226091,1,5,-,2,1,1,3,5
3886201383,1,2,-,4,2,1,8,7
3886197152,1,1,-,1,2,1,0,8
3886132282,1,5,-,4,2,1,3,3
3886121810,0,999,-,999,999,999,999,999
3886114640,1,8,Weather.com,1,2,1,5,2
3886112493,1,5,-,4,1,1,2,3
3886110900,1,2,-,3,2,1,3,1
3886102001,1,1,-,4,3,2,10,8
3886098922,0,7,-,1,1,1,1,4
3886095863,1,1,-,2,3,2,2,3
3886067670,1,3,-,3,2,1,3,2
3886043003,0,5,-,3,1,1,1,4
3886040050,1,4,-,4,1,1,1,6
3886031017,1,5,-,4,4,2,4,5
3886019381,0,4,-,3,1,1,5,9
3886018765,1,5,-,4,1,1,4,7
3886007951,1,8,Weatherbug,4,2,1,3,8
3885984891,1,5,-,4,3,2,4,9
3885983629,1,1,-,4,4,1,0,5
3885983248,1,1,-,4,2,1,0,2
3885969840,1,4,-,4,2,1,10,5
3885965613,1,2,-,3,4,1,8,1
3885944544,1,5,-,4,2,1,6,2
3885928568,1,2,-,4,1,1,6,1
3885927684,0,5,-,3,2,1,3,5
3885872237,0,1,-,3,2,1,2,5
3885869392,1,8,weather channel app,3,1,1,4,7
3885838101,1,4,-,4,1,1,2,9
3885835130,1,4,-,3,1,1,2,5
3885824482,1,1,-,1,4,1,6,7
3885821034,1,5,-,4,4,1,0,3
3885802164,0,3,-,1,2,1,4,2
3885791607,0,2,-,2,2,1,10,2
3885773515,1,5,-,3,2,1,2,9
3885691247,1,4,-,2,2,1,0,7
3885688258,1,8,Yahoo weather iphone,4,1,1,3,7
3885687708,1,4,-,1,2,1,9,3
3885683872,1,2,-,3,2,1,0,2
3885652370,1,4,-,3,2,1,4,4
3885637949,0,4,-,4,1,1,2,999
3885625628,1,5,-,4,2,1,5,4
3885602270,1,5,-,1,1,1,7,3
3885570360,0,3,-,2,2,1,7,5
3885569498,1,8,Weather Puppy,3,2,1,5,5
3885540601,1,8,AccuWeather,4,1,1,1,5
3885539632,1,1,-,1,1,1,2,3
3885525146,1,5,-,4,1,1,10,9
3885512170,1,6,-,2,2,1,3,9
3885497220,1,8,Apple weater,3,1,1,2,9
3885496201,1,3,-,1,2,1,1,999
3885404319,1,5,-,4,2,1,3,7
3885304775,1,5,-,4,2,1,4,2
3885296722,1,8,The Weather Channel app,4,2,1,2,2
3885275206,1,999,-,999,999,999,999,999
3885247252,0,2,-,3,2,1,8,3
3885195077,1,8,"google ""weather""",4,1,1,1,5
3885174420,1,4,-,3,4,1,9,3
3885164782,1,5,-,4,2,1,7,2
3885139533,1,5,-,4,2,1,10,1
3885123066,1,1,-,1,1,1,0,1
3885040099,1,8,Weather Underground,3,2,1,6,4
3885026185,0,5,-,3,2,1,5,9
3884998535,1,8,Weather Timeline (android),1,2,1,7,9
3884960044,1,5,-,3,1,1,6,5
3884902653,0,5,-,4,1,1,3,8
3884859930,1,2,-,2,2,1,2,7
3884813859,0,4,-,1,1,1,1,9
3884790873,1,5,-,4,1,1,1,4
3884694722,1,1,-,4,1,1,6,1
3884500697,1,1,-,1,1,1,3,5
3883994422,1,3,-,4,1,1,1,6
3883947693,0,4,-,3,1,1,0,9
3883852529,0,3,-,2,1,1,5,9
3883822504,1,8,Weatherbug,3,1,1,1,7
3883792972,1,1,-,1,2,1,0,7
3883744850,1,5,-,3,1,1,4,7
3883706735,0,5,-,2,1,1,0,9
3883706220,1,4,-,3,1,1,0,1
3883591931,1,8,1 weather,4,2,1,8,5
3883449927,0,2,-,1,1,1,1,9
3883423513,0,4,-,3,1,1,2,8
3883400954,1,5,-,4,2,1,10,5
3883396110,0,6,-,3,1,1,4,999
3883373140,1,2,-,3,2,1,2,1
3883347727,1,5,-,2,2,1,6,1
3883237358,0,1,-,1,1,1,4,2
3883013307,1,5,-,3,1,1,2,5
3882981067,0,5,-,3,2,1,4,9
3882953969,1,5,-,1,2,1,5,8
3882828486,1,4,-,1,2,1,4,7
3882734383,1,8,Weather Channel app,4,2,1,4,3
3882036173,1,4,-,4,2,1,6,9
3882027944,1,8,"Weather Underground, also 2 half the time.",3,2,1,2,4
3882024847,1,4,-,4,3,1,7,8
3881999864,1,8,weatherbug app,4,3,1,5,5
3881965206,0,4,-,3,1,1,5,5
3881590664,1,8,weather bug,1,2,1,5,3
3881586024,1,4,-,1,3,1,8,5
3881268852,1,4,-,3,1,1,0,999
3881207655,1,5,-,3,3,1,3,9
3881152975,0,8,The Weather Channel app,3,3,1,10,9
3881043805,1,1,-,3,3,1,3,5
3880998411,1,5,-,4,3,1,4,2
3880901650,1,4,-,1,3,1,5,5
3880901309,1,1,-,1,3,1,2,8
3880839674,1,4,-,3,3,1,10,9
3880831944,1,5,-,1,3,1,3,3
3880760866,1,7,-,4,3,1,1,5
3880684514,1,1,-,4,3,1,3,2
3880658899,1,8,FancyClock app on my phone and accuweather.com,4,3,1,7,8
3880648847,1,2,-,1,3,1,1,3
3880644828,1,3,-,3,1,1,0,9
3880589507,1,8,GOES West Satalite,1,3,1,5,9
3880580324,1,8,Intellicast / Storm,4,3,1,8,5
3880574320,1,2,-,3,3,1,5,5
3880465916,0,4,-,2,2,1,1,4
3880464921,0,1,-,3,2,1,5,5
3880459984,1,5,-,3,3,1,4,7
3880448211,1,5,-,4,3,1,9,2
3880441785,1,8,ipod weather,4,3,1,4,5
3880438117,1,8,weatherbug,2,3,1,6,3
3880436782,1,7,-,1,3,1,10,5
3880427365,1,8,weatherbug.com,1,3,1,10,1
3880377127,0,4,-,3,3,1,7,9
3880323654,1,2,-,1,3,1,7,7
3880319089,0,8,iphone weather app,3,1,1,4,5
3880303554,1,8,Weather Bug,4,3,1,8,3
3880299725,1,8,Accuweather,2,3,1,4,3
3880256330,1,5,-,3,3,1,6,9
3880230736,1,1,-,1,3,1,8,5
3880219305,0,4,-,3,3,1,6,9
3880210450,1,1,-,4,3,1,6,9
3880208319,1,4,-,3,2,1,6,7
3880187634,1,4,-,1,3,1,2,9
3880162442,1,5,-,3,1,1,0,2
3880131987,1,5,-,3,3,1,8,9
3880129691,1,5,-,4,3,1,7,5
3880099657,1,2,-,1,3,1,0,8
3880086571,1,5,-,4,3,1,8,9
3880033304,1,2,-,4,1,1,1,2
3879970050,1,5,-,4,1,2,0,5
3879946254,1,1,-,4,3,1,4,3
3879934990,0,2,-,1,3,1,6,3
3879902865,1,3,-,1,3,1,5,2
3879887212,1,5,-,4,3,1,9,9
3879876964,0,3,-,3,1,1,1,5
3879874372,1,2,-,4,3,1,10,7
3879823141,1,1,-,1,3,1,10,9
3879815451,0,7,-,3,3,1,5,2
3879622928,1,1,-,1,1,1,6,4
3879622165,1,1,-,3,3,1,2,2
3879618163,1,8,weather channel app,4,3,1,3,3
3879505742,0,5,-,3,3,1,6,5
3879492127,1,4,-,3,1,1,4,6
3879466790,0,6,-,4,1,1,0,999
3879405493,0,5,-,3,3,1,7,9
3879399705,0,1,-,3,2,1,4,8
3879387300,1,5,-,1,3,1,10,1
3879361333,1,8,www.wunderground.com,4,3,1,3,7
3879332676,1,8,The Weather Channel,4,3,1,5,3
3879327814,1,8,noaa.gov,3,3,1,0,1
3879326602,1,5,-,4,3,1,6,3
3879325675,0,7,-,1,1,1,0,999
3879323844,1,1,-,3,3,1,3,9
3879315853,1,1,-,3,3,1,5,4
3879274139,1,2,-,3,4,2,6,3
3879266798,1,1,-,4,4,2,5,3
